Tm,Tgt_20,Rec_20,Ctch%_20,Yds_20,TD_20,%Tgt_20,Tgt_10,Rec_10,Ctch%_10,Yds_10,TD_10,%Tgt_10,Highlights,Player,Year
NYJ,11,4,36.36%,16,3,23.4%,8,4,50.00%,16,3,33.3%,All Austin Seferian-Jenkins red zone receiving plays,Austin Seferian-Jenkins,2017
NYG,11,5,45.45%,17,0,21.2%,7,4,57.14%,8,0,26.9%,All Sterling Shepard red zone receiving plays,Sterling Shepard,2017
PIT,11,6,54.55%,62,4,13.4%,6,2,33.33%,11,2,14.3%,All JuJu Smith-Schuster red zone receiving plays,JuJu Smith-Schuster,2017
TEN,11,3,27.27%,12,2,25.6%,8,2,25.00%,6,2,47.1%,All Delanie Walker red zone receiving plays,Delanie Walker,2017
BAL,11,3,27.27%,23,3,15.9%,4,2,50.00%,7,2,11.1%,All Mike Wallace red zone receiving plays,Mike Wallace,2017
BAL,11,8,72.73%,20,3,15.9%,7,5,71.43%,6,3,19.4%,All Ben Watson red zone receiving plays,Ben Watson,2017
KC,11,7,63.64%,53,2,15.3%,2,1,50.00%,6,1,9.1%,All Albert Wilson red zone receiving plays,Albert Wilson,2017
NYJ,10,3,30.00%,32,1,21.3%,5,0,0.00%,0,0,20.8%,All Chosen Anderson red zone receiving plays,Chosen Anderson,2017
2TM,10,2,20.00%,12,1,0,5,1,20.00%,8,1,0,All Kelvin Benjamin red zone receiving plays,Kelvin Benjamin,2017
CHI,10,7,70.00%,40,1,20.0%,3,1,33.33%,1,0,10.7%,All Tarik Cohen red zone receiving plays,Tarik Cohen,2017
LAC,10,8,80.00%,62,3,14.9%,5,4,80.00%,26,2,11.4%,All Melvin Gordon red zone receiving plays,Melvin Gordon,2017
CIN,10,6,60.00%,38,2,20.0%,4,2,50.00%,15,1,16.0%,All Brandon LaFell red zone receiving plays,Brandon LaFell,2017
JAX,10,5,50.00%,44,4,20.4%,5,3,60.00%,19,3,17.2%,All Marcedes Lewis red zone receiving plays,Marcedes Lewis,2017
LAR,10,7,70.00%,51,7,13.2%,5,4,80.00%,10,4,14.3%,All Sammy Watkins red zone receiving plays,Sammy Watkins,2017
